Date,Article,Detail,Ref,Qty/Pk,Price,Qty,Stock,Staff
30/05/2018 9:30,MOXITIN INJECTION,CASH,327,1,300,-3,-11PCS,bello
30/05/2018 9:30,DICLOFENAC INJECTION,CASH,327,1,20,-5,489PCS,bello
30/05/2018 9:30,PRIMPEX TABLET,CASH,327,1,150,-1,56PCS,bello
30/05/2018 9:30,LOXAGYL TABLET (400MG),CASH,327,1,100,-1,125PCS,bello
30/05/2018 9:30,MOKO METHYLATED SPIRIT,CASH,327,1,350,-1,68PCS,bello
30/05/2018 9:30,COTTON WOOL (50G),CASH,327,1,50,-1,105PCS,bello
30/05/2018 9:30,NEEDLE 21G,CASH,327,1,10,-10,310PCS,bello
30/05/2018 9:30,SYRINGE & NEEDLE (5ML),CASH,327,1,20,-10,557PCS,bello
30/05/2018 9:30,ARTEMETHER INJECTION,CASH,327,6,500,-6,114PCS,bello
30/05/2018 9:30,TINIZOLE TAB.,CASH,327,1,100,-2,29PCS,bello
30/05/2018 9:30,GENTAMICIN INJECTION (80MG),CASH,327,10,240,-10,104PCS,bello
30/05/2018 9:30,SCALP VEIN (ADULT),CASH,327,1,30,-2,131PCS,bello
30/05/2018 9:30,GIVING SET,CASH,327,1,50,-1,147PCS,bello
30/05/2018 9:30,MARC-OLIVIA CIPROFLOXACIN 500MG,CASH,327,1,400,-1,61PCS,bello
30/05/2018 9:30,CIMETIDINE-200MG,CASH,327,1,150,-2,4PCS,bello
30/05/2018 9:30,CIPROFLOXACIN INFUSION,CASH,327,1,150,-1,20PCS,bello
30/05/2018 9:30,VITAMIN C WHITE X100,CASH,327,1,250,-1,-40PCS,bello
30/05/2018 9:33,ARTEMETHER INJECTION,CASH,328,6,500,-6,108PCS,bello
30/05/2018 9:34,B.CO SYRUP,CASH,331,1,200,-1,-9PCS,peter
30/05/2018 9:34,EMZOR PARACETAMOL TAB,CASH,331,1,40,-1,432sat,peter
30/05/2018 9:34,CEFUROXIME FIDSON SYRUP,CASH,331,1,"1,500",-1,5PCS,peter
30/05/2018 9:34,P-ALAXIN SUSPENSION,CASH,331,1,750,-1,15PCS,peter
30/05/2018 9:35,BUNTO TONIC M/S,CASH,329,1,450,-1,5PCS,bello
30/05/2018 9:35,LUMARTEM TABLET X6,CASH,329,1,250,-1,18PCS,bello
30/05/2018 9:35,GALVUS MET 50MG/1000MG.,CASH,330,1,"2,200",-2,27PCS,bello
30/05/2018 9:42,TYDINEAL  CREAM.,CASH,332,1,350,-1,6PCS,bello
30/05/2018 9:53,ERYTHROMYCIN SYRUP TUYIL,CASH,333,1,250,-1,6PCS,bello
30/05/2018 9:57,COARTEM X4 GOVT,CASH,334,1,550,-1,50PCS,bello
30/05/2018 9:58,XTENDA-20 TABLET,CASH,335,1,750,-1,13PCS,peter
30/05/2018 10:01,MEPRASIL TABLET 20MG,CASH,336,1,650,-1,-3PCS,pharmacist
30/05/2018 10:01,ULGICID,CASH,336,1,900,-1,14PCS,pharmacist
30/05/2018 10:01,EMCAP PARACETAMOL TABLET,CASH,336,1,40,-2,112PCS,pharmacist
30/05/2018 10:01,AMOXIL CAPSULES (UNBRANDED),CASH,336,1,150,-2,118PCS,pharmacist
30/05/2018 10:02,DRUG ENVELOPE,CASH,337,1,100,-1,198PCS,peter
30/05/2018 10:10,AMLONG 5MG,CASH,338,3,550,-3,54PCS,peter
30/05/2018 10:11,AMLONG 5MG,CASH,340,3,550,-3,51PCS,peter
30/05/2018 10:12,SKINEAL CREAM,CASH,341,1,500,-2,16PCS,pharmacist
30/05/2018 10:15,DOXYCAP,CASH,339,1,250,-1,82PCS,bello
30/05/2018 10:17,CANULA (PINK),CASH,342,1,100,-2,32PCS,bello
30/05/2018 10:17,CANULA (BLUE),CASH,342,1,100,-1,10PCS,bello
30/05/2018 10:17,VITAMIN C WHITE X100,CASH,344,1,250,-1,-41PCS,peter
30/05/2018 10:17,YEAST TAB  BY X100,CASH,344,1,250,-1,42PCS,peter
30/05/2018 10:17,TEGRETOL TABLET 200MG PLAIN,CASH,344,1,900,-4,0PCS,peter
30/05/2018 10:19,TUTOLIN COUGH N COLD,CASH,343,1,250,-1,12PCS,bello
30/05/2018 10:20,FLEMING TABLET 1G,CASH,346,1,"2,000",-1,13PCS,peter
30/05/2018 10:23,QUININE INJECTION 5ML,CASH,345,1,100,-1,83PCS,bello
30/05/2018 10:23,FLEMING SUSPENSION (228MG),CASH,349,1,"1,000",-1,5PCS,pharmacist
30/05/2018 10:23,LONART SYRUP,CASH,349,1,900,-1,14PCS,pharmacist
30/05/2018 10:23,CHLORAMPHENICOL EYE DROP MCA,CASH,349,1,150,-1,14PCS,pharmacist
30/05/2018 10:24,SERETIDE 250MCG,CASH,347,1,"4,800",-1,6PCS,bello
30/05/2018 10:25,BRIMONIDIN EYE DROP,CASH,348,1,"2,500",-1,3PCS,bello
30/05/2018 10:31,PARACETAMOL TAB (M&B) SATCHET,CASH,350,1,50,-1,177sat,bello
30/05/2018 10:31,CAMOSUNATE TABLET (7-13),CASH,350,1,600,-1,14PCS,bello
30/05/2018 10:31,AUGMENTIN TABLET (375MG),CASH,350,1,"1,500",-1,22PCS,bello
30/05/2018 10:35,LARIDOX TABLET,CASH,351,1,150,-1,9PCS,bello
30/05/2018 10:36,IBUPROFEN SYRUP,CASH,353,1,250,-1,-12PCS,pharmacist
30/05/2018 10:36,EMVIT C SYRUP,CASH,353,1,250,-1,57PCS,pharmacist
30/05/2018 10:36,AUGMENTIN SYRUP (228MG),CASH,353,1,"2,200",-1,13PCS,pharmacist
30/05/2018 10:39,EMVIT C SYRUP,CASH,i353,0,250,1,58PCS,peter
30/05/2018 10:39,GLUCOPHAGE BY 14 -500MG TABLET,CASH,352,1,700,-1,-41PCS,bello
30/05/2018 10:43,NEOFYLIN SYRUP,CASH,354,1,300,-1,17PCS,bello
30/05/2018 10:46,BIOCOTEN CREAM,CASH,355,1,450,-1,32PCS,bello
30/05/2018 10:47,B.CO TABLET (X100),CASH,356,1,300,-1,13PCS,pharmacist
30/05/2018 10:47,PARACETAMOL TAB (M&B) SATCHET,CASH,356,1,50,-2,175sat,pharmacist
30/05/2018 10:47,MARC-OLIVIA ARTEMETHER 80/480,CASH,356,1,600,-1,28PCS,pharmacist
30/05/2018 10:56,MILICAP CAP,CASH,358,1,250,-1,44PCS,peter
30/05/2018 10:56,CHEMIRON CAPSULE,CASH,358,1,120,-1,53PCS,peter
30/05/2018 10:56,SUPER APETI PLUS TAB,CASH,358,1,150,-1,-5PCS,peter
30/05/2018 10:57,NORMORETIC TABLET,CASH,357,1,170,-2,69PCS,bello
30/05/2018 11:00,AMLOZAAR,CASH,362,1,"1,200",-1,4PCS,peter
30/05/2018 11:02,VASOPRIN TABLET,CASH,359,10,250,-10,57PCS,bello
30/05/2018 11:02,COLIPAN TABLET,CASH,359,1,250,-1,80PCS,bello
30/05/2018 11:02,BABYREX TEETHING MIXTURE,CASH,360,1,250,-1,-14PCS,bello
30/05/2018 11:02,LIFE BACK METFORMIN  500MG,CASH,363,1,150,-2,84PCS,peter
30/05/2018 11:04,ZOLAT SUSPENSION,CASH,361,1,200,-1,19PCS,bello
30/05/2018 11:04,AMOXIL CAPSULE BEECHAM (500MG),CASH,365,1,550,-2,181PCS,pharmacist
30/05/2018 11:04,LONART DS,CASH,365,1,"1,200",-1,-8PCS,pharmacist
30/05/2018 11:04,PARACETAMOL TAB (M&B) SATCHET,CASH,365,1,50,-2,173sat,pharmacist
30/05/2018 11:04,REALS  NIGHT  AID  TAB.,CASH,365,1,250,-1,28PCS,pharmacist
30/05/2018 11:08,MARC-OLIVIA ARTEMETHER 80/480,CASH,364,1,600,-1,27PCS,bello
30/05/2018 11:08,CEFLONAC TABLET,CASH,364,1,300,-1,37PCS,bello
30/05/2018 11:08,MARC-OLIVIA CIPROFLOXACIN 500MG,CASH,364,1,400,-1,60PCS,bello
30/05/2018 11:14,LUMARTEM TABLET X24,CASH,367,1,500,-1,11PCS,peter
30/05/2018 11:16,CREPE BANDAGE(6 INCHES)B/S,CASH,366,1,200,-1,33PCS,bello
30/05/2018 11:16,VITAMIN C WHITE X100,CASH,366,1,250,-1,-42PCS,bello
30/05/2018 11:29,LIFE BACK METFORMIN  500MG,CASH,369,1,150,-3,81PCS,pharmacist
30/05/2018 11:29,NORMORETIC TABLET,CASH,369,1,170,-2,67PCS,pharmacist
30/05/2018 11:29,BLOOD SUGAR TEST,CASH,369,1,500,-1,-38PCS,pharmacist
30/05/2018 11:32,FOLIC X100,CASH,368,1,300,-1,47PCS,bello
30/05/2018 11:32,RELUDRINE TABLET,CASH,368,1,270,-5,55PCS,bello
30/05/2018 11:32,B.CO TABLET (X100),CASH,368,1,300,-1,12PCS,bello
30/05/2018 11:32,JOBELYN CAPSULE (X100),CASH,368,1,550,-3,30PCS,bello
30/05/2018 11:34,GAVISCON SYRUB,CASH,370,1,"1,900",-1,9PCS,bello
30/05/2018 11:34,LUMARTEM TABLET X18,CASH,370,1,400,-1,14PCS,bello
30/05/2018 11:37,RUZU BITTERS 500ML,CASH,371,1,"3,400",-1,12PCS,bello
30/05/2018 11:37,HERB TEA,CASH,371,1,350,-1,26PCS,bello
30/05/2018 11:40,FEROGLOBIN SYRUP,CASH,372,1,"1,500",-1,-3PCS,bello
30/05/2018 11:42,ANDREWS LIVER SALT,CASH,373,1,50,-2,17PCS,bello
30/05/2018 11:43,ANUSOL SUPPOSETRIE SACHET,CASH,375,1,"1,350",-1,23PCS,bello
30/05/2018 11:45,GAUZE BAND B/S,CASH,374,12,750,-12,92PCS,bello
30/05/2018 11:46,TRAMADOL INJECTION 50MG,CASH,376,1,100,-2,52PCS,bello
30/05/2018 11:53,VISTULENT EYE DROP,CASH,378,1,800,-1,15PCS,peter
30/05/2018 11:53,CEFUROXIME FIDSON SYRUP,CASH,377,1,"1,500",-1,4PCS,bello
30/05/2018 11:53,REPROFEN SYRUP,CASH,377,1,300,-1,35PCS,bello
30/05/2018 11:53,ORASURE KIT PKT,CASH,377,1,300,-1,31PCS,bello
30/05/2018 11:57,TETRACYCLINE CAPSULE,CASH,380,1,80,-1,130PCS,bello
30/05/2018 11:57,LOXAGYL TABLET (400MG),CASH,380,1,100,-1,124PCS,bello
30/05/2018 11:59,ORT POWDER,CASH,379,1,50,-1,141PCS,bello
30/05/2018 12:00,PANADOL TABLET (ORDINARY),CASH,381,1,130,-1,111PCS,bello
30/05/2018 12:01,DANACID TABLET,CASH,382,1,50,-4,5PCS,bello
30/05/2018 12:02,VIREST TAB (400MG),CASH,383,1,"1,000",-2,41PCS,bello
30/05/2018 12:04,ANACIN TABLET,CASH,384,1,10,-2,360PCS,bello
30/05/2018 12:08,EXFORGE 10MG/160MG.,CASH,387,2,"9,800",-2,6PCS,peter
30/05/2018 12:08,COMBISUNATE 80/480.,CASH,385,1,500,-1,10PCS,bello
30/05/2018 12:08,OMEGA H3 CAPSULE,CASH,385,5,"2,300",-5,52PCS,bello
30/05/2018 12:08,LOFNAC GEL,CASH,385,1,250,-1,5PCS,bello
30/05/2018 12:11,PARACETAMOL TAB (M&B) SATCHET,CASH,386,1,50,-1,172sat,bello
30/05/2018 12:11,MAXIQUINE SYRUP,CASH,386,1,200,-1,34PCS,bello
30/05/2018 12:11,COARTEM X2 GOVT,CASH,386,1,350,-1,3PCS,bello
30/05/2018 12:11,DOXYCYCLINE (GENEITH),CASH,386,1,100,-1,5PCS,bello
30/05/2018 12:16,ELISCA EAR DROP,CASH,388,1,350,-1,4PCS,bello
30/05/2018 12:17,LONART DS,CASH,390,1,"1,200",-1,-9PCS,pharmacist
30/05/2018 12:17,CALCITONE TABLET,CASH,390,1,250,-1,20PCS,pharmacist
30/05/2018 12:17,ANOROL TABLET,CASH,390,1,200,-2,32PCS,pharmacist
30/05/2018 12:17,DICLOMOL GEL.,CASH,390,1,250,-1,12PCS,pharmacist
30/05/2018 12:20,KETHA METHYLDOPA TABLET,CASH,389,1,200,-1,89PCS,bello
30/05/2018 12:20,PROCAINE PENNICILIN INJECTION,CASH,391,1,140,-3,39PCS,bello
30/05/2018 12:20,LOXAGYL TABLET (400MG),CASH,391,10,800,-10,114PCS,bello
30/05/2018 12:20,AMPICILLIN CAPSULE,CASH,391,10,700,-10,83PCS,bello
30/05/2018 12:20,MOKO CALAMINE LOTION,CASH,391,1,170,-2,0PCS,bello
30/05/2018 12:20,VITAMIN C TAB.X100 ORANGE,CASH,391,1,220,-3,12PCS,bello
30/05/2018 12:20,VITAMIN C WHITE X100,CASH,391,1,220,-2,-44PCS,bello
30/05/2018 12:20,BETADRONE N EYE DROP,CASH,391,1,400,-6,26PCS,bello
30/05/2018 12:20,ABONIKI BALM,CASH,391,1,220,-4,26PCS,bello
30/05/2018 12:20,LUMARTEM TABLET X24,CASH,391,1,400,-25,-14PCS,bello
30/05/2018 12:20,NCP 100ML M/S,CASH,391,1,500,-2,3PCS,bello
30/05/2018 12:20,PENICILLIN OINTMENT,CASH,391,1,170,-2,21PCS,bello
30/05/2018 12:20,EBU 200,CASH,391,1,70,-5,9PCS,bello
30/05/2018 12:20,EXAMINATION GLOVES,CASH,391,1,"1,300",-1,298PCS,bello
30/05/2018 12:20,COLIPAN TABLET,CASH,391,10,"2,200",-10,70PCS,bello
30/05/2018 12:20,MOKO IODINE,CASH,391,1,170,-4,12PCS,bello
30/05/2018 12:20,IBUTEN 400MG,CASH,391,1,80,-5,26PCS,bello
30/05/2018 12:20,DELE COTTON WOOL,CASH,391,1,"1,250",-1,5PCS,bello
30/05/2018 12:20,PLASTER ROLL 2 INCHES S/S,CASH,391,1,200,-4,-9PCS,bello
30/05/2018 12:20,PROCOLD CAP X4,CASH,391,1,60,-50,98PCS,bello
30/05/2018 12:20,DEQUADIN LOZENGES,CASH,391,25,"7,000",-25,-6PCS,bello
30/05/2018 12:20,ROBB  BOTLE,CASH,391,1,180,-2,14PCS,bello
30/05/2018 12:20,MOKO METHYLATED SPIRIT,CASH,391,1,280,-4,64PCS,bello
30/05/2018 12:26,EMVITE SYRUP,CASH,392,1,250,-1,54PCS,peter
30/05/2018 12:31,LIPITOR TABLET 10MG SACHET,CASH,393,3,"6,300",-3,19PCS,bello
30/05/2018 12:31,BIOPENTIN TABLET,CASH,393,1,"1,000",-2,8PCS,bello
30/05/2018 12:31,EXFORGE 10MG/160MG.,CASH,393,2,"10,000",-2,4PCS,bello
30/05/2018 12:36,EMVIT C SYRUP,CASH,394,1,250,-1,57PCS,bello
30/05/2018 12:36,EMZOR PARACETAMOL SYRUP,CASH,394,1,150,-1,21PCS,bello
30/05/2018 12:36,PARACETAMOL TAB (M&B) SATCHET,CASH,394,1,50,-1,171sat,bello
30/05/2018 12:36,EMVITE SYRUP,CASH,394,1,250,-1,53PCS,bello
30/05/2018 12:38,JUNOLOL TAB,CASH,395,1,100,-1,32PCS,bello
30/05/2018 12:40,CIPROTAB 500 (X10),CASH,396,1,"1,200",-1,66PCS,bello
30/05/2018 12:40,CEFLONAC TABLET,CASH,396,1,300,-1,36PCS,bello
30/05/2018 12:40,PLEXITONE TONIC,CASH,396,1,800,-1,14PCS,bello
30/05/2018 12:40,AQUASURL CREAM,CASH,397,1,150,-1,14PCS,bello
30/05/2018 12:48,G G COLD,CASH,398,1,50,-1,81PCS,bello
30/05/2018 12:48,COFLIN SYRUP,CASH,398,1,250,-1,9PCS,bello
30/05/2018 12:57,MOKO GV PAINT,CASH,399,1,100,-1,36PCS,bello
30/05/2018 13:02,TETRACYCLINE CAPSULE,CASH,400,1,50,-1,129PCS,bello
30/05/2018 13:02,PRIMPEX TABLET,CASH,400,1,120,-1,55PCS,bello
30/05/2018 13:02,LOXAGYL TABLET (400MG),CASH,400,1,80,-1,113PCS,bello
30/05/2018 13:06,DEQUADIN LOZENGES,CASH,i391,25,280,25,19PCS,peter
30/05/2018 13:07,LIFE BACK METFORMIN  500MG,CASH,401,1,150,-1,80PCS,bello
30/05/2018 13:07,GLANIL TABLET,CASH,401,1,150,-1,94PCS,bello
30/05/2018 13:07,DEQUADIN LOZENGES,CASH,405,1,280,-13,6PCS,peter
30/05/2018 13:09,IBEX CAPSULE,CASH,402,1,350,-1,33PCS,bello
30/05/2018 13:09,ALABUKUN POWDER,CASH,402,10,550,-10,4651,bello
30/05/2018 13:09,PROCOLD CAP X4,CASH,402,1,70,-1,97PCS,bello
30/05/2018 13:09,LOFNAC  PLUS.  TAB.,CASH,402,1,100,-1,97PCS,bello
30/05/2018 13:11,DOLOMETA-B,CASH,403,1,150,-4,106PCS,bello
30/05/2018 13:11,NORMORETIC TABLET,CASH,403,1,170,-1,66PCS,bello
30/05/2018 13:11,DETTOL 75ML,CASH,403,1,300,-1,3PCS,bello
30/05/2018 13:11,DETTOL 165ML,CASH,404,1,600,-1,1PCS,bello
30/05/2018 13:11,AMPICLOX SYRUP(BEECHAM),CASH,404,1,"1,500",-1,22PCS,bello
30/05/2018 13:13,GESTID TABLET,CASH,406,1,300,-1,2PCS,bello
30/05/2018 13:23,PERILON TABLET,CASH,408,1,150,-2,194PCS,bello
30/05/2018 13:23,FELVIN CAPSULE,CASH,408,1,70,-3,51PCS,bello
30/05/2018 13:23,ARTEQUIN TABLET ADULT,CASH,407,1,"1,700",-1,-3PCS,bello
30/05/2018 13:23,LAXAT EYE DROP,CASH,407,1,"5,000",-1,-4PCS,bello
30/05/2018 13:30,LEXOTAN (TALEN)3MG,CASH,409,1,500,-1,43PCS,bello
30/05/2018 13:31,WATER CARE.,CASH,412,1,200,-1,5bott,peter
30/05/2018 13:33,AVOMINE TABLET,CASH,410,1,100,-1,47PCS,bello
30/05/2018 13:33,UNIGYL   DRIP,CASH,410,1,150,-2,19PCS,bello
30/05/2018 13:33,GIVING SET,CASH,410,1,50,-2,145PCS,bello
30/05/2018 13:33,SCALP VEIN (ADULT),CASH,410,1,30,-2,129PCS,bello
30/05/2018 13:33,CIMETIDINE 400MG,CASH,410,1,200,-1,24PCS,bello
30/05/2018 13:33,GENTAMICIN INJECTION (80MG),CASH,410,1,30,-4,100PCS,bello
30/05/2018 13:33,PARACETAMOL INJECTION (AMPOULE),CASH,410,1,30,-5,76PCS,bello
30/05/2018 13:34,AMLODIPINE 5MG PHARMAMAX,CASH,411,1,500,-1,30PCS,bello
30/05/2018 13:34,NECTRANOX 100MG ITRANOX,CASH,411,4,"2,700",-4,16PCS,bello
30/05/2018 13:35,IBEX CAPSULE,CASH,413,1,350,-1,32PCS,bello
30/05/2018 13:39,RETRAX TABLET,CASH,414,1,150,-2,29PCS,bello
30/05/2018 13:40,CAMOSUNATE TABLET (7-13),CASH,415,1,600,-1,13PCS,bello
30/05/2018 13:40,PARACETAMOL TAB (M&B) SATCHET,CASH,415,1,50,-1,170sat,bello
30/05/2018 13:47,ATROPINE EYE DROP,CASH,417,1,700,-1,8PCS,bello
30/05/2018 13:47,MAXITROL ALCON EYE DROP,CASH,417,1,"1,500",-1,6PCS,bello
30/05/2018 13:47,TAVANIC 500MG,CASH,420,1,"5,500",-1,2PCS,pharmacist
30/05/2018 13:47,CONTIFLO OD TABLET,CASH,420,1,"1,850",-1,13PCS,pharmacist
30/05/2018 13:47,CEFUROXIME FIDSON SYRUP,CASH,418,1,"1,500",-1,3PCS,bello
30/05/2018 13:49,LOSARETIC SACHET,CASH,416,1,650,-2,14PCS,kayode
30/05/2018 13:51,AMPICLOX CAPSULE (BEECHAM),CASH,419,1,800,-1,46PCS,bello
30/05/2018 13:55,EMVIT C SYRUP,CASH,421,1,250,-1,56PCS,bello
30/05/2018 13:55,EMZOR PARACETAMOL SYRUP,CASH,421,1,150,-1,20PCS,bello
30/05/2018 13:56,EMZOR PARACETAMOL TAB,CASH,422,1,40,-1,431sat,bello
30/05/2018 13:56,EMVIT C SYRUP,CASH,422,1,250,-1,55PCS,bello
30/05/2018 13:56,ZENTEL TABLET,CASH,423,1,450,-1,56PCS,bello
30/05/2018 13:56,MEDIK 55,CASH,423,1,200,-1,28PCS,bello
30/05/2018 13:56,LINCOMYCIN 500MG CAPSULE,CASH,423,1,400,-1,30PCS,bello
30/05/2018 14:01,PARACETAMOL INJECTION (VIAL) 15ML,CASH,424,1,200,-1,11PCS,bello
30/05/2018 14:01,CIPROFLOXACIN INFUSION,CASH,424,1,150,-1,19PCS,bello
30/05/2018 14:01,DICLOFENAC INJECTION,CASH,424,10,180,-10,479PCS,bello
30/05/2018 14:01,DEXTROSE SALINE,CASH,424,1,200,-1,69PCS,bello
30/05/2018 14:01,GIVING SET,CASH,424,1,50,-2,143PCS,bello
30/05/2018 14:01,UNIGYL   DRIP,CASH,424,1,150,-1,18PCS,bello
30/05/2018 14:08,TETRACYCLINE CAPSULE,CASH,425,1,80,-1,128PCS,bello
30/05/2018 14:08,PAINKILL TABLET,CASH,425,1,40,-1,103PCS,bello
30/05/2018 14:08,FELVIN CAPSULE,CASH,425,1,70,-1,50PCS,bello
30/05/2018 14:12,BONABABE TEETHING MIXTURE,CASH,426,1,200,-1,23PCS,bello
30/05/2018 14:23,PYRANTRIN SYRUP,CASH,427,1,600,-1,31PCS,bello
30/05/2018 14:25,CIPROTAB 500 (X14),CASH,429,1,"1,500",-1,31PCS,bello
30/05/2018 14:29,ANOROL TABLET,CASH,430,1,200,-1,31PCS,bello
30/05/2018 14:29,NIFEDINE DEXCEL TABLET,CASH,430,1,250,-2,64PCS,bello
30/05/2018 14:29,KETHA METHYLDOPA TABLET,CASH,430,1,200,-1,88PCS,bello
30/05/2018 14:30,BKB,CASH,431,1,100,-1,40PCS,bello
30/05/2018 14:32,COSOPT EYE DROP,CASH,428,1,"2,900",-1,9PCS,kayode
30/05/2018 14:32,AMOXIL CAPSULE BEECHAM (500MG),CASH,428,10,"4,100",-10,81PCS,kayode
30/05/2018 14:33,DAFLON TABLET X30,CASH,432,1,"3,400",-3,3PCS,bello
30/05/2018 14:41,LIFE BACK METFORMIN  500MG,CASH,433,1,150,-2,78PCS,peter
30/05/2018 14:41,GLANIL TABLET,CASH,433,1,150,-1,93PCS,peter
30/05/2018 14:49,TAVANIC 500MG,CASH,434,1,"5,500",-1,1PCS,bello
30/05/2018 14:51,TARGLIT  15MG. TAB.SAT.,CASH,435,1,700,-1,8PCS,bello
30/05/2018 14:51,VASOPRIN TABLET,CASH,435,1,30,-5,52PCS,bello
30/05/2018 14:54,PROCOLD CAP X4,CASH,438,1,70,-2,95PCS,bello
30/05/2018 14:55,OMEGA H3 CAPSULE,CASH,439,1,500,-2,50PCS,bello
30/05/2018 14:55,PRIMPEX TABLET,CASH,436,1,150,-2,53PCS,bello
30/05/2018 14:55,HB12 PLUS CAPSULE,CASH,436,1,"1,100",-1,-1PCS,bello
30/05/2018 14:55,EMZOR PARACETAMOL TAB,CASH,436,8,300,-8,423sat,bello
30/05/2018 14:55,EMVIT C SYRUP,CASH,436,1,250,-1,54PCS,bello
30/05/2018 14:55,P-ALAXIN TABLET,CASH,436,1,900,-1,17PCS,bello
30/05/2018 14:56,FESULF  X 100 TAB.,CASH,440,1,200,-1,62PCS,pharmacist
30/05/2018 14:56,VITAMIN C WHITE X100,CASH,437,1,250,-1,-45PCS,bello
30/05/2018 15:04,DAONIL 5MG,CASH,442,1,300,-1,87PCS,bello
30/05/2018 15:04,PANFOR SR 1000,CASH,442,1,550,-1,52PCS,bello
30/05/2018 15:04,WATER CARE.,CASH,441,1,200,-1,4bott,bello
30/05/2018 15:04,DYNAMOGEN SOLUTION,CASH,441,1,120,-8,129PCS,bello
30/05/2018 15:06,NOSPAMIN DROPS,CASH,444,1,200,-1,16PCS,peter
30/05/2018 15:08,LIFE BACK METFORMIN  500MG,CASH,443,1,150,-2,76PCS,bello
30/05/2018 15:08,NORVASC 10MG PACKET,CASH,446,1,"2,000",-1,8PCS,peter
30/05/2018 15:12,MAXIVISION BY SACHET 60CAPSULE,CASH,445,4,"8,500",-4,1PCS,bello
30/05/2018 15:13,IMODIUM TABLET,CASH,447,1,"1,200",-1,7PCS,bello
30/05/2018 15:14,COLIPAN TABLET,CASH,448,1,250,-2,68PCS,pharmacist
30/05/2018 15:14,AVOMINE TABLET,CASH,448,1,100,-1,46PCS,pharmacist
30/05/2018 15:14,MARC-OLIVIA ARTEMETHER 80/480,CASH,448,1,600,-1,26PCS,pharmacist
30/05/2018 15:14,CIPROTAB - TN.,CASH,448,1,"1,500",-1,19PCS,pharmacist
30/05/2018 15:24,LION OINTMENT,CASH,449,1,650,-1,9PCS,pharmacist
30/05/2018 15:24,ANOROL TABLET,CASH,449,1,200,-3,28PCS,pharmacist
30/05/2018 15:24,MEPRASIL TABLET 20MG,CASH,449,1,650,-1,-4PCS,pharmacist
30/05/2018 15:30,GLUCOPHAGE BY 14 -500MG TABLET,CASH,450,1,700,-1,18PCS,pharmacist
30/05/2018 15:34,NATURES FIELD VITAMIN C 1000MG SACHET,CASH,451,1,300,-2,-23PCS,bello
30/05/2018 15:34,NATURES FIELD MEGA CALCIUM SACHET,CASH,451,1,500,-1,-2PCS,bello
30/05/2018 15:34,PARACETAMOL TAB (M&B) SATCHET,CASH,451,1,50,-3,167sat,bello
30/05/2018 15:34,FESULF  X 100 TAB.,CASH,451,1,200,-1,61PCS,bello
30/05/2018 15:38,PROPRANOLOL TAB,CASH,452,1,5,-40,2449PCS,peter
30/05/2018 15:38,CARBIROD TAB.5MG,CASH,452,5,"2,600",-15,48PCS,peter
30/05/2018 15:40,NGC DIUREX,CASH,453,1,100,-1,242PCS,bello
30/05/2018 15:40,NGC DIUREX,CASH,454,1,100,-1,241PCS,bello
30/05/2018 15:42,KETHA METHYLDOPA TABLET,CASH,456,1,200,-5,83PCS,pharmacist
